USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.8  0.0  22232 13332 ?        Ss   22:45   0:01 /sbin/init
root          77  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/3]
root          78  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/3:0-events]
root          79  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/3:0H-events_highpri]
root          80  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/5]
root          81  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/5]
root          82  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/5]
root          83  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/5]
root          84  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/5:0-events]
root          85  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/5:0H-events_highpri]
root          86  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/7]
root          87  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/7]
root          88  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/7]
root          89  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/7]
root          90  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/7:0-events]
root          91  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/7:0H-events_highpri]
root          92  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/9]
root          93  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/9]
root          94  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/9]
root          95  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/9]
root          96  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/9:0-events]
root          97  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/9:0H-events_highpri]
root          98  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/11]
root          99  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/11]
root         100  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/11]
root         101  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/11]
root         102  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/11:0-cgroup_destroy]
root         103  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/11:0H-events_highpri]
root         104  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/13]
